index; english; polish; y; n; mode;
1; amusement park; wesołe miasteczko; 0; 0; 1;
2; siamese twins; bliżniaki sjamskie; 0; 0; 1;
3; tooth thread; nić do zębów; 0; 0; 1;
4; keep up appearances; zachowywać pozory; 0; 0; 1;
5; society grows to be more compassionate; społeczeństwo dorasta do bycia bardziej współczującym; 0; 0; 1;
6; toilet humor; humor kloaczny; 0; 0; 1;
7; repulsive; odpychający; 0; 0; 1;
8; gay-mocking humor; humor wyśmiewający osoby homoseksualne; 0; 0; 1;
9; without flinching; bez mrugnięcia okiem (bez wahania); 0; 0; 1;
10; To hang up the phone; rozłączyć się, odłożyć słuchawkę; 0; 0; 1;
11; apprehensive; zaniepokojony, niepewny, pełen obaw; 0; 0; 1;
12; prevail (In the end, truth and justice will prevail); zwyciężać, przeważać (Ostatecznie prawda i sprawiedliwość zwyciężą); 0; 0; 1;
13; womb, uterus; macica; 0; 0; 1;
14; compendious (She provided a compendious summary of the report), concise; zwięzły (Przedstawiła zwięzłe podsumowanie raportu); 0; 0; 1;
15; crumple; zgnieść; 0; 0; 1;
16; how is it going; jak leci; 0; 0; 1;
17; It fractured my relationships (The situation fractured my relationships with family and friends); To nadwyrężyło moje relacje (Sytuacja nadwyrężyła moje relacje z rodziną i przyjaciółmi); 0; 0; 1;
18; To starve sb to death; Zagłodzić kogoś na śmierć; 0; 0; 1;
19; He flinched when the loud noise startled him; Wzdrygnął się, gdy przestraszył go głośny hałas; 0; 0; 1;
20; custom; zwyczaj; 0; 0; 1;
21; I hope that everyone can feel me blushing; Mam nadzieję, że wszyscy czują, jak się rumienię; 0; 0; 1;
22; I'm going on foot, I'm gonna walk, I'm walking, I'll go by foot, I'm taking a walk there, I'll get there by walking; Idę pieszo; 0; 0; 1;
23; I'm going for/on a walk, I'm going for a stroll; Idę na spacer, idę się przejść; 0; 0; 1;
24; This is not an issue as you would want to put it; Ten problem nie jest taki, jak chciałbyś go przedstawić; 0; 0; 1;
25; It's a bad omen; To zły omen (to zły znak); 0; 0; 1;
26; I'll work my way up to a management position; Pracuję na to, żeby osiągnąć stanowisko kierownicze; 0; 0; 1;
27; It's all smoke and mirrors; To tylko mydlenie oczu/pozory/iluzja; 0; 0; 1;
28; Pendant; wisiorek; 0; 0; 1;
29; To put something through its paces; Przetestować coś w różnych warunkach, sprawdzić coś w praktyce; 0; 0; 1;
30; It brings them up when they hear good news; To ich podnosi na duchu, gdy słyszą dobre wiadomości; 0; 0; 1;
31; He set her up to say something embarrassing in front of everyone; Podpuścił ją, żeby powiedziała coś zawstydzającego przed wszystkimi; 0; 0; 1;
32; maneuverability is less; manewrowość jest ograniczona; 0; 0; 1;
33; excels in high speed tracks; dobrze sobie radzi na szybkich torach; 0; 0; 1;
34; She took pity on the stray dog and gave it food; Zlitowała się nad bezdomnym psem i dała mu jedzenie; 0; 0; 1;
35; underwhelming; pozostawiajacy niedosyt, zawodzacy oczekiwania; 0; 0; 1;
36; Of my own free will (I did it of my free will); z własnej woli (Zrobiłem to z własnej woli); 0; 0; 1;
37; Ten weekend był bardzo zmienny; This weekend was very up and down; 0; 0; 1;
38; If we work hard, we will be up there with the best teams; Jeśli będziemy ciężko pracować, będziemy tam na górze wśród najlepszych drużyn; 0; 0; 1;
